phase	detail	resources	seconds	rate_per_s
load	MimicProcedureED.ndjson	500	0.23	2165
load	MimicProcedureED.ndjson	500	0.21	2392
load	MimicProcedureED.ndjson	260	0.10	2574
file	MimicProcedureED.ndjson	1260	0.59	2118
load	MimicSpecimen.ndjson	500	0.33	1524
load	MimicSpecimen.ndjson	500	0.63	800
load	MimicSpecimen.ndjson	336	0.13	2565
file	MimicSpecimen.ndjson	1336	1.35	992
load	MimicMedication.ndjson	500	0.17	2924
load	MimicMedication.ndjson	500	0.17	2924
load	MimicMedication.ndjson	480	0.15	3265
file	MimicMedication.ndjson	1480	0.52	2868
load	MimicProcedureICU.ndjson	500	0.34	1479
load	MimicProcedureICU.ndjson	500	0.23	2203
load	MimicProcedureICU.ndjson	468	0.22	2118
file	MimicProcedureICU.ndjson	1468	0.88	1668
load	MimicObservationMicroSusc.ndjson	500	0.48	1050
load	MimicObservationMicroSusc.ndjson	500	0.40	1263
load	MimicObservationMicroSusc.ndjson	36	0.08	450
file	MimicObservationMicroSusc.ndjson	1036	1.05	987
load	MimicObservationMicroTest.ndjson	500	0.37	1362
load	MimicObservationMicroTest.ndjson	500	0.33	1502
load	MimicObservationMicroTest.ndjson	500	0.31	1603
load	MimicObservationMicroTest.ndjson	393	0.27	1477
file	MimicObservationMicroTest.ndjson	1893	1.36	1395
load	MimicMedicationStatementED.ndjson	500	0.28	1805
load	MimicMedicationStatementED.ndjson	500	0.19	2604
load	MimicMedicationStatementED.ndjson	500	0.20	2551
load	MimicMedicationStatementED.ndjson	500	0.19	2591
load	MimicMedicationStatementED.ndjson	411	0.19	2152
file	MimicMedicationStatementED.ndjson	2411	1.14	2119
load	MimicObservationED.ndjson	500	0.38	1330
load	MimicObservationED.ndjson	500	0.35	1412
load	MimicObservationED.ndjson	500	0.33	1534
load	MimicObservationED.ndjson	500	0.36	1377
load	MimicObservationED.ndjson	500	0.39	1269
load	MimicObservationED.ndjson	242	0.19	1254
file	MimicObservationED.ndjson	2742	2.10	1303
load	MimicCondition.ndjson	500	0.22	2304
load	MimicCondition.ndjson	500	0.17	2976
load	MimicCondition.ndjson	500	0.17	2976
load	MimicCondition.ndjson	500	0.18	2793
load	MimicCondition.ndjson	500	0.17	2890
load	MimicCondition.ndjson	500	0.18	2825
load	MimicCondition.ndjson	500	0.18	2809
load	MimicCondition.ndjson	500	0.23	2193
load	MimicCondition.ndjson	500	0.23	2137
load	MimicCondition.ndjson	6	0.04	162
file	MimicCondition.ndjson	4506	1.88	2394
load	MimicObservationVitalSignsED.ndjson	500	0.56	891
load	MimicObservationVitalSignsED.ndjson	500	0.46	1094
load	MimicObservationVitalSignsED.ndjson	500	0.46	1085
load	MimicObservationVitalSignsED.ndjson	500	0.53	947
load	MimicObservationVitalSignsED.ndjson	500	0.41	1205
load	MimicObservationVitalSignsED.ndjson	500	0.46	1096
load	MimicObservationVitalSignsED.ndjson	500	0.41	1208
load	MimicObservationVitalSignsED.ndjson	500	0.46	1082
load	MimicObservationVitalSignsED.ndjson	500	0.48	1033
load	MimicObservationVitalSignsED.ndjson	500	0.45	1109
load	MimicObservationVitalSignsED.ndjson	500	0.48	1037
load	MimicObservationVitalSignsED.ndjson	500	0.55	903
load	MimicObservationVitalSignsED.ndjson	300	0.29	1017
file	MimicObservationVitalSignsED.ndjson	6300	6.28	1004
load	MimicSpecimenLab.ndjson	500	0.19	2577
load	MimicSpecimenLab.ndjson	500	0.18	2762
load	MimicSpecimenLab.ndjson	500	0.16	3185
load	MimicSpecimenLab.ndjson	500	0.16	3086
load	MimicSpecimenLab.ndjson	500	0.16	3067
load	MimicSpecimenLab.ndjson	500	0.19	2618
load	MimicSpecimenLab.ndjson	500	0.21	2358
load	MimicSpecimenLab.ndjson	500	0.22	2242
load	MimicSpecimenLab.ndjson	500	0.19	2591
load	MimicSpecimenLab.ndjson	500	0.20	2564
load	MimicSpecimenLab.ndjson	500	0.19	2674
load	MimicSpecimenLab.ndjson	500	0.20	2551
load	MimicSpecimenLab.ndjson	500	0.20	2500
load	MimicSpecimenLab.ndjson	500	0.20	2513
load	MimicSpecimenLab.ndjson	500	0.21	2392
load	MimicSpecimenLab.ndjson	500	0.24	2092
load	MimicSpecimenLab.ndjson	500	0.29	1730
load	MimicSpecimenLab.ndjson	500	0.25	2033
load	MimicSpecimenLab.ndjson	500	0.22	2232
load	MimicSpecimenLab.ndjson	500	0.23	2146
load	MimicSpecimenLab.ndjson	500	0.23	2174
load	MimicSpecimenLab.ndjson	500	0.25	2016
load	MimicSpecimenLab.ndjson	122	0.10	1245
file	MimicSpecimenLab.ndjson	11122	4.94	2252
load	MimicObservationOutputevents.ndjson	500	0.46	1080
load	MimicObservationOutputevents.ndjson	500	0.40	1244
load	MimicObservationOutputevents.ndjson	500	0.45	1101
load	MimicObservationOutputevents.ndjson	500	0.43	1166
load	MimicObservationOutputevents.ndjson	500	0.48	1037
load	MimicObservationOutputevents.ndjson	500	0.45	1101
load	MimicObservationOutputevents.ndjson	500	0.44	1136
load	MimicObservationOutputevents.ndjson	500	0.41	1208
load	MimicObservationOutputevents.ndjson	500	0.50	1004
load	MimicObservationOutputevents.ndjson	500	0.47	1066
load	MimicObservationOutputevents.ndjson	500	0.46	1085
load	MimicObservationOutputevents.ndjson	500	0.45	1121
load	MimicObservationOutputevents.ndjson	500	0.47	1064
load	MimicObservationOutputevents.ndjson	500	0.51	980
load	MimicObservationOutputevents.ndjson	500	0.47	1064
load	MimicObservationOutputevents.ndjson	500	0.43	1160
load	MimicObservationOutputevents.ndjson	500	0.51	977
load	MimicObservationOutputevents.ndjson	500	0.69	729
load	MimicObservationOutputevents.ndjson	362	0.55	663
file	MimicObservationOutputevents.ndjson	9362	9.46	990
load	MimicObservationDatetimeevents.ndjson	500	0.65	772
load	MimicObservationDatetimeevents.ndjson	500	0.66	755
load	MimicObservationDatetimeevents.ndjson	500	0.66	758
load	MimicObservationDatetimeevents.ndjson	500	0.63	790
load	MimicObservationDatetimeevents.ndjson	500	0.65	775
load	MimicObservationDatetimeevents.ndjson	500	0.64	779
load	MimicObservationDatetimeevents.ndjson	500	0.66	759
load	MimicObservationDatetimeevents.ndjson	500	0.66	753
load	MimicObservationDatetimeevents.ndjson	500	0.63	796
load	MimicObservationDatetimeevents.ndjson	500	0.65	773
load	MimicObservationDatetimeevents.ndjson	500	0.65	767
load	MimicObservationDatetimeevents.ndjson	500	0.66	753
load	MimicObservationDatetimeevents.ndjson	500	0.66	763
load	MimicObservationDatetimeevents.ndjson	500	0.68	737
load	MimicObservationDatetimeevents.ndjson	500	0.64	784
load	MimicObservationDatetimeevents.ndjson	500	0.69	729
load	MimicObservationDatetimeevents.ndjson	500	0.64	784
load	MimicObservationDatetimeevents.ndjson	500	0.67	745
load	MimicObservationDatetimeevents.ndjson	500	0.64	778
load	MimicObservationDatetimeevents.ndjson	500	0.69	725
load	MimicObservationDatetimeevents.ndjson	500	0.70	717
load	MimicObservationDatetimeevents.ndjson	500	0.67	745
load	MimicObservationDatetimeevents.ndjson	500	0.67	743
load	MimicObservationDatetimeevents.ndjson	500	0.71	707
load	MimicObservationDatetimeevents.ndjson	500	0.65	767
load	MimicObservationDatetimeevents.ndjson	500	0.67	752
load	MimicObservationDatetimeevents.ndjson	500	0.70	714
load	MimicObservationDatetimeevents.ndjson	500	0.69	727
load	MimicObservationDatetimeevents.ndjson	500	0.66	761
load	MimicObservationDatetimeevents.ndjson	500	0.69	722
load	MimicObservationDatetimeevents.ndjson	280	0.40	695
file	MimicObservationDatetimeevents.ndjson	15280	21.45	712
load	MimicMedicationDispense.ndjson	500	0.56	896
load	MimicMedicationDispense.ndjson	500	0.43	1174
load	MimicMedicationDispense.ndjson	500	0.34	1475
load	MimicMedicationDispense.ndjson	500	0.26	1923
load	MimicMedicationDispense.ndjson	500	0.29	1730
load	MimicMedicationDispense.ndjson	500	0.31	1597
load	MimicMedicationDispense.ndjson	500	0.44	1134
load	MimicMedicationDispense.ndjson	500	0.44	1142
load	MimicMedicationDispense.ndjson	500	0.46	1092
load	MimicMedicationDispense.ndjson	500	0.43	1171
load	MimicMedicationDispense.ndjson	500	0.43	1163
load	MimicMedicationDispense.ndjson	500	0.57	873
load	MimicMedicationDispense.ndjson	500	0.47	1064
load	MimicMedicationDispense.ndjson	500	0.46	1089
load	MimicMedicationDispense.ndjson	500	0.47	1053
load	MimicMedicationDispense.ndjson	500	0.48	1050
load	MimicMedicationDispense.ndjson	500	0.45	1101
load	MimicMedicationDispense.ndjson	500	0.51	973
load	MimicMedicationDispense.ndjson	500	0.48	1048
load	MimicMedicationDispense.ndjson	500	0.52	960
load	MimicMedicationDispense.ndjson	500	0.47	1066
load	MimicMedicationDispense.ndjson	500	0.52	971
load	MimicMedicationDispense.ndjson	500	0.47	1068
load	MimicMedicationDispense.ndjson	500	0.48	1037
load	MimicMedicationDispense.ndjson	500	0.48	1044
load	MimicMedicationDispense.ndjson	500	0.46	1080
load	MimicMedicationDispense.ndjson	500	0.51	986
load	MimicMedicationDispense.ndjson	500	0.48	1033
load	MimicMedicationDispense.ndjson	293	0.33	891
file	MimicMedicationDispense.ndjson	14293	14.06	1016
load	MimicMedicationRequest.ndjson	500	0.51	984
load	MimicMedicationRequest.ndjson	500	0.47	1066
load	MimicMedicationRequest.ndjson	500	0.42	1179
load	MimicMedicationRequest.ndjson	500	0.43	1157
load	MimicMedicationRequest.ndjson	500	0.39	1272
load	MimicMedicationRequest.ndjson	500	0.45	1124
load	MimicMedicationRequest.ndjson	500	0.29	1695
load	MimicMedicationRequest.ndjson	500	0.30	1639
load	MimicMedicationRequest.ndjson	500	0.28	1779
load	MimicMedicationRequest.ndjson	500	0.42	1179
load	MimicMedicationRequest.ndjson	500	0.45	1121
load	MimicMedicationRequest.ndjson	500	0.45	1124
load	MimicMedicationRequest.ndjson	500	0.48	1050
load	MimicMedicationRequest.ndjson	500	0.45	1116
load	MimicMedicationRequest.ndjson	500	0.48	1042
load	MimicMedicationRequest.ndjson	500	0.46	1099
load	MimicMedicationRequest.ndjson	500	0.47	1055
load	MimicMedicationRequest.ndjson	500	0.48	1044
load	MimicMedicationRequest.ndjson	500	0.50	1008
load	MimicMedicationRequest.ndjson	500	0.51	977
load	MimicMedicationRequest.ndjson	500	0.48	1031
load	MimicMedicationRequest.ndjson	500	0.50	1000
load	MimicMedicationRequest.ndjson	500	0.48	1033
load	MimicMedicationRequest.ndjson	500	0.53	951
load	MimicMedicationRequest.ndjson	500	0.51	980
load	MimicMedicationRequest.ndjson	500	0.52	969
load	MimicMedicationRequest.ndjson	500	0.45	1111
load	MimicMedicationRequest.ndjson	500	0.36	1377
load	MimicMedicationRequest.ndjson	500	0.36	1389
load	MimicMedicationRequest.ndjson	500	0.51	978
load	MimicMedicationRequest.ndjson	500	0.56	885
load	MimicMedicationRequest.ndjson	500	0.52	969
load	MimicMedicationRequest.ndjson	500	0.54	923
load	MimicMedicationRequest.ndjson	500	0.51	977
load	MimicMedicationRequest.ndjson	500	0.51	982
load	MimicMedicationRequest.ndjson	52	0.09	553
file	MimicMedicationRequest.ndjson	17552	17.63	996
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1012
load	MimicMedicationAdministrationICU.ndjson	500	0.35	1445
load	MimicMedicationAdministrationICU.ndjson	500	0.24	2119
load	MimicMedicationAdministrationICU.ndjson	500	0.20	2500
load	MimicMedicationAdministrationICU.ndjson	500	0.22	2315
load	MimicMedicationAdministrationICU.ndjson	500	0.25	2016
load	MimicMedicationAdministrationICU.ndjson	500	0.36	1389
load	MimicMedicationAdministrationICU.ndjson	500	0.35	1425
load	MimicMedicationAdministrationICU.ndjson	500	0.38	1333
load	MimicMedicationAdministrationICU.ndjson	500	0.36	1389
load	MimicMedicationAdministrationICU.ndjson	500	0.41	1225
load	MimicMedicationAdministrationICU.ndjson	500	0.41	1208
load	MimicMedicationAdministrationICU.ndjson	500	0.39	1282
load	MimicMedicationAdministrationICU.ndjson	500	0.40	1259
load	MimicMedicationAdministrationICU.ndjson	500	0.40	1253
load	MimicMedicationAdministrationICU.ndjson	500	0.43	1155
load	MimicMedicationAdministrationICU.ndjson	500	0.42	1196
load	MimicMedicationAdministrationICU.ndjson	500	0.31	1623
load	MimicMedicationAdministrationICU.ndjson	500	0.28	1812
load	MimicMedicationAdministrationICU.ndjson	500	0.30	1667
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1025
load	MimicMedicationAdministrationICU.ndjson	500	0.43	1149
load	MimicMedicationAdministrationICU.ndjson	500	0.41	1205
load	MimicMedicationAdministrationICU.ndjson	500	0.30	1645
load	MimicMedicationAdministrationICU.ndjson	500	0.29	1736
load	MimicMedicationAdministrationICU.ndjson	500	0.37	1355
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1066
load	MimicMedicationAdministrationICU.ndjson	500	0.46	1092
load	MimicMedicationAdministrationICU.ndjson	500	0.45	1104
load	MimicMedicationAdministrationICU.ndjson	500	0.46	1096
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1014
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1064
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1014
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1075
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1055
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1064
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1073
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1012
load	MimicMedicationAdministrationICU.ndjson	500	0.46	1099
load	MimicMedicationAdministrationICU.ndjson	500	0.54	935
load	MimicMedicationAdministrationICU.ndjson	404	0.40	1020
file	MimicMedicationAdministrationICU.ndjson	20404	18.09	1128
load	MimicMedicationAdministration.ndjson	500	0.60	839
load	MimicMedicationAdministration.ndjson	500	0.54	926
load	MimicMedicationAdministration.ndjson	500	0.49	1016
load	MimicMedicationAdministration.ndjson	500	0.52	969
load	MimicMedicationAdministration.ndjson	500	0.53	938
load	MimicMedicationAdministration.ndjson	500	0.57	873
load	MimicMedicationAdministration.ndjson	500	0.51	990
load	MimicMedicationAdministration.ndjson	500	0.53	952
load	MimicMedicationAdministration.ndjson	500	0.52	971
load	MimicMedicationAdministration.ndjson	500	0.49	1014
load	MimicMedicationAdministration.ndjson	500	0.53	947
load	MimicMedicationAdministration.ndjson	500	0.51	984
load	MimicMedicationAdministration.ndjson	500	0.56	894
load	MimicMedicationAdministration.ndjson	500	0.54	931
load	MimicMedicationAdministration.ndjson	500	0.55	904
load	MimicMedicationAdministration.ndjson	500	0.53	947
load	MimicMedicationAdministration.ndjson	500	0.55	912
load	MimicMedicationAdministration.ndjson	500	0.52	965
load	MimicMedicationAdministration.ndjson	500	0.53	949
load	MimicMedicationAdministration.ndjson	500	0.55	907
load	MimicMedicationAdministration.ndjson	500	0.53	940
load	MimicMedicationAdministration.ndjson	500	0.48	1050
load	MimicMedicationAdministration.ndjson	500	0.39	1285
load	MimicMedicationAdministration.ndjson	500	0.44	1144
load	MimicMedicationAdministration.ndjson	500	0.53	940
load	MimicMedicationAdministration.ndjson	500	0.57	883
load	MimicMedicationAdministration.ndjson	500	0.54	919
load	MimicMedicationAdministration.ndjson	500	0.57	880
load	MimicMedicationAdministration.ndjson	500	0.54	923
load	MimicMedicationAdministration.ndjson	500	0.54	921
load	MimicMedicationAdministration.ndjson	500	0.54	928
load	MimicMedicationAdministration.ndjson	500	0.53	949
load	MimicMedicationAdministration.ndjson	500	0.57	874
load	MimicMedicationAdministration.ndjson	500	0.57	873
load	MimicMedicationAdministration.ndjson	500	0.43	1171
load	MimicMedicationAdministration.ndjson	500	0.39	1282
load	MimicMedicationAdministration.ndjson	500	0.47	1075
load	MimicMedicationAdministration.ndjson	500	0.60	836
load	MimicMedicationAdministration.ndjson	500	0.54	929
load	MimicMedicationAdministration.ndjson	500	0.42	1193
load	MimicMedicationAdministration.ndjson	500	0.39	1289
load	MimicMedicationAdministration.ndjson	500	0.54	923
load	MimicMedicationAdministration.ndjson	500	0.61	814
load	MimicMedicationAdministration.ndjson	500	0.56	891
load	MimicMedicationAdministration.ndjson	500	0.60	829
load	MimicMedicationAdministration.ndjson	500	0.55	904
load	MimicMedicationAdministration.ndjson	500	0.63	791
load	MimicMedicationAdministration.ndjson	500	0.57	874
load	MimicMedicationAdministration.ndjson	500	0.58	864
load	MimicMedicationAdministration.ndjson	500	0.57	871
load	MimicMedicationAdministration.ndjson	500	0.58	868
load	MimicMedicationAdministration.ndjson	500	0.62	803
load	MimicMedicationAdministration.ndjson	500	0.60	839
load	MimicMedicationAdministration.ndjson	500	0.60	836
load	MimicMedicationAdministration.ndjson	500	0.58	858
load	MimicMedicationAdministration.ndjson	500	0.59	840
load	MimicMedicationAdministration.ndjson	500	0.58	859
load	MimicMedicationAdministration.ndjson	500	0.58	855
load	MimicMedicationAdministration.ndjson	500	0.58	855
load	MimicMedicationAdministration.ndjson	500	0.57	879
load	MimicMedicationAdministration.ndjson	500	0.61	822
load	MimicMedicationAdministration.ndjson	500	0.59	850
load	MimicMedicationAdministration.ndjson	500	0.61	824
load	MimicMedicationAdministration.ndjson	500	0.55	903
load	MimicMedicationAdministration.ndjson	500	0.63	800
load	MimicMedicationAdministration.ndjson	500	0.55	906
load	MimicMedicationAdministration.ndjson	500	0.57	883
load	MimicMedicationAdministration.ndjson	500	0.57	873
load	MimicMedicationAdministration.ndjson	500	0.56	894
load	MimicMedicationAdministration.ndjson	500	0.63	792
load	MimicMedicationAdministration.ndjson	500	0.56	901
load	MimicMedicationAdministration.ndjson	500	0.61	817
load	MimicMedicationAdministration.ndjson	131	0.21	612
file	MimicMedicationAdministration.ndjson	36131	42.00	860
load	MimicObservationLabevents.ndjson	500	0.95	525
load	MimicObservationLabevents.ndjson	500	0.91	552
load	MimicObservationLabevents.ndjson	500	0.84	592
load	MimicObservationLabevents.ndjson	500	0.87	572
load	MimicObservationLabevents.ndjson	500	0.53	949
load	MimicObservationLabevents.ndjson	500	0.55	911
load	MimicObservationLabevents.ndjson	500	0.61	814
load	MimicObservationLabevents.ndjson	500	0.69	719
load	MimicObservationLabevents.ndjson	500	0.55	917
load	MimicObservationLabevents.ndjson	500	0.57	882
load	MimicObservationLabevents.ndjson	500	0.67	744
load	MimicObservationLabevents.ndjson	500	0.55	907
load	MimicObservationLabevents.ndjson	500	0.56	894
load	MimicObservationLabevents.ndjson	500	0.62	809
load	MimicObservationLabevents.ndjson	500	0.57	871
load	MimicObservationLabevents.ndjson	500	0.58	862
load	MimicObservationLabevents.ndjson	500	0.54	929
load	MimicObservationLabevents.ndjson	500	0.56	898
load	MimicObservationLabevents.ndjson	500	0.57	874
load	MimicObservationLabevents.ndjson	500	0.62	809
load	MimicObservationLabevents.ndjson	500	0.58	861
load	MimicObservationLabevents.ndjson	500	0.60	832
load	MimicObservationLabevents.ndjson	500	0.63	799
load	MimicObservationLabevents.ndjson	500	0.58	867
load	MimicObservationLabevents.ndjson	500	0.61	824
load	MimicObservationLabevents.ndjson	500	0.62	801
load	MimicObservationLabevents.ndjson	500	0.62	803
load	MimicObservationLabevents.ndjson	500	0.62	810
load	MimicObservationLabevents.ndjson	500	0.57	879
load	MimicObservationLabevents.ndjson	500	0.61	824
load	MimicObservationLabevents.ndjson	500	0.61	821
load	MimicObservationLabevents.ndjson	500	0.63	790
load	MimicObservationLabevents.ndjson	500	0.60	829
load	MimicObservationLabevents.ndjson	500	0.58	868
load	MimicObservationLabevents.ndjson	500	0.67	746
load	MimicObservationLabevents.ndjson	500	0.60	839
load	MimicObservationLabevents.ndjson	500	0.59	845
load	MimicObservationLabevents.ndjson	500	0.69	723
load	MimicObservationLabevents.ndjson	500	0.59	853
load	MimicObservationLabevents.ndjson	500	0.58	855
load	MimicObservationLabevents.ndjson	500	0.58	861
load	MimicObservationLabevents.ndjson	500	0.59	853
load	MimicObservationLabevents.ndjson	500	0.57	879
load	MimicObservationLabevents.ndjson	500	0.67	752
load	MimicObservationLabevents.ndjson	500	0.60	839
load	MimicObservationLabevents.ndjson	500	0.59	843
load	MimicObservationLabevents.ndjson	500	0.67	751
load	MimicObservationLabevents.ndjson	500	0.58	856
load	MimicObservationLabevents.ndjson	500	0.56	885
load	MimicObservationLabevents.ndjson	500	0.67	742
load	MimicObservationLabevents.ndjson	500	0.61	822
load	MimicObservationLabevents.ndjson	500	0.58	861
load	MimicObservationLabevents.ndjson	500	0.92	545
load	MimicObservationLabevents.ndjson	500	0.92	542
load	MimicObservationLabevents.ndjson	500	0.91	552
load	MimicObservationLabevents.ndjson	500	0.92	541
load	MimicObservationLabevents.ndjson	500	0.93	537
load	MimicObservationLabevents.ndjson	500	0.89	561
load	MimicObservationLabevents.ndjson	500	0.95	526
load	MimicObservationLabevents.ndjson	500	0.95	527
load	MimicObservationLabevents.ndjson	500	0.91	550
load	MimicObservationLabevents.ndjson	500	0.92	543
load	MimicObservationLabevents.ndjson	500	0.95	524
load	MimicObservationLabevents.ndjson	500	0.90	557
load	MimicObservationLabevents.ndjson	500	0.94	533
load	MimicObservationLabevents.ndjson	500	0.93	539
load	MimicObservationLabevents.ndjson	500	1.02	489
load	MimicObservationLabevents.ndjson	500	0.98	511
load	MimicObservationLabevents.ndjson	500	1.27	392
load	MimicObservationLabevents.ndjson	500	1.21	413
load	MimicObservationLabevents.ndjson	500	1.24	403
load	MimicObservationLabevents.ndjson	500	1.23	407
load	MimicObservationLabevents.ndjson	500	1.18	425
load	MimicObservationLabevents.ndjson	500	0.94	532
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.98	512
load	MimicObservationLabevents.ndjson	500	0.67	751
load	MimicObservationLabevents.ndjson	500	0.80	628
load	MimicObservationLabevents.ndjson	500	0.94	530
load	MimicObservationLabevents.ndjson	500	0.97	516
load	MimicObservationLabevents.ndjson	500	0.91	551
load	MimicObservationLabevents.ndjson	500	0.95	525
load	MimicObservationLabevents.ndjson	500	0.97	516
load	MimicObservationLabevents.ndjson	500	0.94	535
load	MimicObservationLabevents.ndjson	500	0.95	525
load	MimicObservationLabevents.ndjson	500	0.95	529
load	MimicObservationLabevents.ndjson	500	0.93	538
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.97	513
load	MimicObservationLabevents.ndjson	500	0.91	548
load	MimicObservationLabevents.ndjson	500	0.92	541
load	MimicObservationLabevents.ndjson	500	0.90	559
load	MimicObservationLabevents.ndjson	500	0.97	514
load	MimicObservationLabevents.ndjson	500	0.96	518
load	MimicObservationLabevents.ndjson	500	0.92	543
load	MimicObservationLabevents.ndjson	500	0.93	539
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.77	652
load	MimicObservationLabevents.ndjson	500	0.75	668
load	MimicObservationLabevents.ndjson	500	0.94	529
load	MimicObservationLabevents.ndjson	500	0.94	533
load	MimicObservationLabevents.ndjson	500	0.96	520
load	MimicObservationLabevents.ndjson	500	0.96	520
load	MimicObservationLabevents.ndjson	500	0.93	541
load	MimicObservationLabevents.ndjson	500	0.96	518
load	MimicObservationLabevents.ndjson	500	0.94	533
load	MimicObservationLabevents.ndjson	500	0.99	507
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.96	519
load	MimicObservationLabevents.ndjson	500	0.97	514
load	MimicObservationLabevents.ndjson	500	0.97	513
load	MimicObservationLabevents.ndjson	500	0.94	530
load	MimicObservationLabevents.ndjson	500	0.99	503
load	MimicObservationLabevents.ndjson	500	1.00	502
load	MimicObservationLabevents.ndjson	500	0.89	561
load	MimicObservationLabevents.ndjson	500	0.94	533
load	MimicObservationLabevents.ndjson	500	0.84	595
load	MimicObservationLabevents.ndjson	500	0.67	746
load	MimicObservationLabevents.ndjson	500	0.94	530
load	MimicObservationLabevents.ndjson	500	0.97	515
load	MimicObservationLabevents.ndjson	500	0.95	527
load	MimicObservationLabevents.ndjson	500	0.96	520
load	MimicObservationLabevents.ndjson	500	0.94	532
load	MimicObservationLabevents.ndjson	500	0.98	512
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.91	549
load	MimicObservationLabevents.ndjson	500	0.97	517
load	MimicObservationLabevents.ndjson	500	0.95	526
load	MimicObservationLabevents.ndjson	500	0.95	528
load	MimicObservationLabevents.ndjson	500	0.98	511
load	MimicObservationLabevents.ndjson	500	0.91	547
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	1.02	492
load	MimicObservationLabevents.ndjson	500	0.93	539
load	MimicObservationLabevents.ndjson	500	0.88	569
load	MimicObservationLabevents.ndjson	500	0.71	704
load	MimicObservationLabevents.ndjson	500	1.00	498
load	MimicObservationLabevents.ndjson	500	1.01	493
load	MimicObservationLabevents.ndjson	500	0.95	526
load	MimicObservationLabevents.ndjson	500	0.99	504
load	MimicObservationLabevents.ndjson	500	0.99	504
load	MimicObservationLabevents.ndjson	500	0.95	528
load	MimicObservationLabevents.ndjson	500	0.99	507
load	MimicObservationLabevents.ndjson	500	0.96	519
load	MimicObservationLabevents.ndjson	500	0.69	722
load	MimicObservationLabevents.ndjson	500	0.82	610
load	MimicObservationLabevents.ndjson	500	0.76	655
load	MimicObservationLabevents.ndjson	500	0.77	651
load	MimicObservationLabevents.ndjson	500	0.96	521
load	MimicObservationLabevents.ndjson	500	0.97	513
load	MimicObservationLabevents.ndjson	500	0.97	514
load	MimicObservationLabevents.ndjson	500	1.00	498
load	MimicObservationLabevents.ndjson	500	0.96	518
load	MimicObservationLabevents.ndjson	500	0.99	505
load	MimicObservationLabevents.ndjson	500	0.98	511
load	MimicObservationLabevents.ndjson	500	0.95	529
load	MimicObservationLabevents.ndjson	500	0.98	511
load	MimicObservationLabevents.ndjson	500	0.94	529
load	MimicObservationLabevents.ndjson	500	1.00	500
load	MimicObservationLabevents.ndjson	500	0.95	527
load	MimicObservationLabevents.ndjson	500	0.99	504
load	MimicObservationLabevents.ndjson	500	0.99	507
load	MimicObservationLabevents.ndjson	500	1.15	436
load	MimicObservationLabevents.ndjson	500	1.02	490
load	MimicObservationLabevents.ndjson	500	0.98	511
load	MimicObservationLabevents.ndjson	500	0.99	505
load	MimicObservationLabevents.ndjson	500	0.97	515
load	MimicObservationLabevents.ndjson	500	0.99	505
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	1.01	493
load	MimicObservationLabevents.ndjson	500	0.99	506
load	MimicObservationLabevents.ndjson	500	0.70	715
load	MimicObservationLabevents.ndjson	500	0.82	607
load	MimicObservationLabevents.ndjson	500	0.86	581
load	MimicObservationLabevents.ndjson	500	0.77	654
load	MimicObservationLabevents.ndjson	500	0.90	555
load	MimicObservationLabevents.ndjson	500	0.71	706
load	MimicObservationLabevents.ndjson	500	1.00	498
load	MimicObservationLabevents.ndjson	500	0.93	535
load	MimicObservationLabevents.ndjson	500	0.96	523
load	MimicObservationLabevents.ndjson	500	0.98	508
load	MimicObservationLabevents.ndjson	500	0.95	526
load	MimicObservationLabevents.ndjson	500	0.97	516
load	MimicObservationLabevents.ndjson	500	0.98	508
load	MimicObservationLabevents.ndjson	500	0.98	508
load	MimicObservationLabevents.ndjson	500	0.98	510
load	MimicObservationLabevents.ndjson	500	1.01	496
load	MimicObservationLabevents.ndjson	500	0.99	503
load	MimicObservationLabevents.ndjson	500	0.98	511
load	MimicObservationLabevents.ndjson	500	0.99	506
load	MimicObservationLabevents.ndjson	500	1.04	480
load	MimicObservationLabevents.ndjson	500	0.95	525
load	MimicObservationLabevents.ndjson	500	1.03	486
load	MimicObservationLabevents.ndjson	500	1.00	499
