label	resource_type	search_name	side	count	example_id	example_row
mimic2000	ObservationMicroTest	patient	gen	205	00caa486-bd20-5803-ae39-5a2d073ac6fc	reference|patient|Patient/e1de99bc-3bc5-565e-9ee6-69675b9cc267
mimic2000	ObservationMicroTest	_profile	gen	205	00caa486-bd20-5803-ae39-5a2d073ac6fc	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-micro-test
mimic2000	ObservationMicroTest	_source	gen	205	00caa486-bd20-5803-ae39-5a2d073ac6fc	uri|_source|#3nneMzv3b8KNItoO
mimic2000	ObservationOutputevents	patient	gen	1599	0005ab55-2502-5bff-886e-a97b0f30c747	reference|patient|Patient/dd2bf984-33c3-5874-8f68-84113327877e
mimic2000	ObservationOutputevents	_profile	gen	1599	0005ab55-2502-5bff-886e-a97b0f30c747	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-outputevents
mimic2000	ObservationOutputevents	_source	gen	1599	0005ab55-2502-5bff-886e-a97b0f30c747	uri|_source|#IgOojQAPsQQTKVeK
mimic2000	Organization	_profile	gen	1	ee172322-118b-5716-abbc-18e4c5437e15	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-organization
mimic2000	Organization	_source	gen	1	ee172322-118b-5716-abbc-18e4c5437e15	uri|_source|#4q7uFaXbK83m3wlg
mimic2000	Patient	_text	gen	10	e1de99bc-3bc5-565e-9ee6-69675b9cc267	string|_text|patient 10002428 identifier 10002428 date of birth 14 july 2075
mimic2000	Patient	_profile	gen	10	e1de99bc-3bc5-565e-9ee6-69675b9cc267	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-patient
mimic2000	Patient	_source	gen	10	e1de99bc-3bc5-565e-9ee6-69675b9cc267	uri|_source|#SNTXyuXa4ulkfwJJ
mimic2000	Procedure	patient	gen	90	0142bd23-5ead-522b-a250-5f0fab20fb1a	reference|patient|Patient/73fb53d8-f1fa-53cd-a25c-2314caccbb99
mimic2000	Procedure	_profile	gen	90	0142bd23-5ead-522b-a250-5f0fab20fb1a	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-procedure
mimic2000	Procedure	_source	gen	90	0142bd23-5ead-522b-a250-5f0fab20fb1a	uri|_source|#J7C1pM3M7h5CZlqN
mimic2000	ProcedureICU	patient	gen	235	01a445ee-4c55-54bc-8c98-f659e9ef090f	reference|patient|Patient/dd2bf984-33c3-5874-8f68-84113327877e
mimic2000	ProcedureICU	_profile	gen	235	01a445ee-4c55-54bc-8c98-f659e9ef090f	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-procedure-icu
mimic2000	ProcedureICU	_source	gen	235	01a445ee-4c55-54bc-8c98-f659e9ef090f	uri|_source|#BVrBO0rdtiyySAb5
mimic2000	Specimen	patient	gen	1513	0006af4e-f7ed-553a-b7d9-033f384fe45c	reference|patient|Patient/73eac996-32e6-5b25-96fb-7d7414180af9
mimic2000	Specimen	_profile	gen	1513	0006af4e-f7ed-553a-b7d9-033f384fe45c	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-specimen
mimic2000	Specimen	_source	gen	1513	0006af4e-f7ed-553a-b7d9-033f384fe45c	uri|_source|#3XCwV9oQvMF2sZcf
